dataset_type,policy_name,policy_version,case_name,episode_id,step,x,y,direction,next_x,next_y,next_direction,front_blocked,left_blocked,right_blocked,true_front_blocked,true_left_blocked,true_right_blocked,distance_to_goal,dx_to_goal,dy_to_goal,action,reward,done,episode_success,is_demonstration_accepted
heuristic_demonstration,obstacle_aware_goal,v0.4.2,detour_required_8x8,v0_5_detour_required_8x8_4,15,7,2,south,7,3,south,0,1,0,0,1,0,1,0,1,forward,10.00,1,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,loop_trap_8x8,v0_5_loop_trap_8x8_5,0,1,1,east,1,1,north,1,0,0,1,0,0,5,5,0,turn_left,-0.20,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,loop_trap_8x8,v0_5_loop_trap_8x8_5,1,1,1,north,1,0,north,0,0,1,0,0,1,5,5,0,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,loop_trap_8x8,v0_5_loop_trap_8x8_5,2,1,0,north,1,0,west,1,0,1,1,0,1,6,5,1,turn_left,-0.20,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,loop_trap_8x8,v0_5_loop_trap_8x8_5,3,1,0,west,0,0,west,0,0,1,0,0,1,6,5,1,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,loop_trap_8x8,v0_5_loop_trap_8x8_5,4,0,0,west,0,0,south,1,0,1,1,0,1,7,6,1,turn_left,-0.20,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,loop_trap_8x8,v0_5_loop_trap_8x8_5,5,0,0,south,0,1,south,0,0,1,0,0,1,7,6,1,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,loop_trap_8x8,v0_5_loop_trap_8x8_5,6,0,1,south,0,2,south,0,0,1,0,0,1,6,6,0,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,loop_trap_8x8,v0_5_loop_trap_8x8_5,7,0,2,south,0,3,south,0,0,1,0,0,1,7,6,-1,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,loop_trap_8x8,v0_5_loop_trap_8x8_5,8,0,3,south,0,4,south,0,0,1,0,0,1,8,6,-2,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,loop_trap_8x8,v0_5_loop_trap_8x8_5,9,0,4,south,0,5,south,0,0,1,0,0,1,9,6,-3,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,loop_trap_8x8,v0_5_loop_trap_8x8_5,10,0,5,south,0,6,south,0,0,1,0,0,1,10,6,-4,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,loop_trap_8x8,v0_5_loop_trap_8x8_5,11,0,6,south,0,7,south,0,0,1,0,0,1,11,6,-5,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,loop_trap_8x8,v0_5_loop_trap_8x8_5,12,0,7,south,0,7,east,1,0,1,1,0,1,12,6,-6,turn_left,-0.20,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,loop_trap_8x8,v0_5_loop_trap_8x8_5,13,0,7,east,1,7,east,0,0,1,0,0,1,12,6,-6,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,loop_trap_8x8,v0_5_loop_trap_8x8_5,14,1,7,east,2,7,east,0,0,1,0,0,1,11,5,-6,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,loop_trap_8x8,v0_5_loop_trap_8x8_5,15,2,7,east,3,7,east,0,0,1,0,0,1,10,4,-6,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,loop_trap_8x8,v0_5_loop_trap_8x8_5,16,3,7,east,4,7,east,0,0,1,0,0,1,9,3,-6,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,loop_trap_8x8,v0_5_loop_trap_8x8_5,17,4,7,east,5,7,east,0,0,1,0,0,1,8,2,-6,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,loop_trap_8x8,v0_5_loop_trap_8x8_5,18,5,7,east,6,7,east,0,0,1,0,0,1,7,1,-6,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,loop_trap_8x8,v0_5_loop_trap_8x8_5,19,6,7,east,7,7,east,0,0,1,0,0,1,6,0,-6,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,loop_trap_8x8,v0_5_loop_trap_8x8_5,20,7,7,east,7,7,north,1,0,1,1,0,1,7,-1,-6,turn_left,-0.20,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,loop_trap_8x8,v0_5_loop_trap_8x8_5,21,7,7,north,7,6,north,0,0,1,0,0,1,7,-1,-6,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,loop_trap_8x8,v0_5_loop_trap_8x8_5,22,7,6,north,7,5,north,0,0,1,0,0,1,6,-1,-5,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,loop_trap_8x8,v0_5_loop_trap_8x8_5,23,7,5,north,7,4,north,0,0,1,0,0,1,5,-1,-4,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,loop_trap_8x8,v0_5_loop_trap_8x8_5,24,7,4,north,7,3,north,0,0,1,0,0,1,4,-1,-3,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,loop_trap_8x8,v0_5_loop_trap_8x8_5,25,7,3,north,7,2,north,0,0,1,0,0,1,3,-1,-2,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,loop_trap_8x8,v0_5_loop_trap_8x8_5,26,7,2,north,7,1,north,0,0,1,0,0,1,2,-1,-1,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,loop_trap_8x8,v0_5_loop_trap_8x8_5,27,7,1,north,7,0,north,0,0,1,0,0,1,1,-1,0,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,loop_trap_8x8,v0_5_loop_trap_8x8_5,28,7,0,north,7,0,west,1,0,1,1,0,1,2,-1,1,turn_left,-0.20,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,loop_trap_8x8,v0_5_loop_trap_8x8_5,29,7,0,west,6,0,west,0,0,1,0,0,1,2,-1,1,forward,0.90,0,1,true
