dataset_type,policy_name,policy_version,case_name,episode_id,step,x,y,direction,next_x,next_y,next_direction,front_blocked,left_blocked,right_blocked,true_front_blocked,true_left_blocked,true_right_blocked,distance_to_goal,dx_to_goal,dy_to_goal,action,reward,done,episode_success,is_demonstration_accepted
heuristic_demonstration,obstacle_aware_goal,v0.4.2,consecutive_turns,v0_5_consecutive_turns_6,2,1,3,north,1,2,north,0,0,1,0,0,1,6,5,1,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,consecutive_turns,v0_5_consecutive_turns_6,3,1,2,north,1,1,north,0,0,0,0,0,0,7,5,2,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,consecutive_turns,v0_5_consecutive_turns_6,4,1,1,north,1,0,north,0,0,0,0,0,0,8,5,3,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,consecutive_turns,v0_5_consecutive_turns_6,5,1,0,north,1,0,east,1,0,0,1,0,0,9,5,4,turn_right,-0.20,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,consecutive_turns,v0_5_consecutive_turns_6,6,1,0,east,2,0,east,0,1,0,0,1,0,9,5,4,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,consecutive_turns,v0_5_consecutive_turns_6,7,2,0,east,3,0,east,0,1,0,0,1,0,8,4,4,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,consecutive_turns,v0_5_consecutive_turns_6,8,3,0,east,4,0,east,0,1,0,0,1,0,7,3,4,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,consecutive_turns,v0_5_consecutive_turns_6,9,4,0,east,5,0,east,0,1,0,0,1,0,6,2,4,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,consecutive_turns,v0_5_consecutive_turns_6,10,5,0,east,6,0,east,0,1,0,0,1,0,5,1,4,forward,0.90,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,consecutive_turns,v0_5_consecutive_turns_6,11,6,0,east,7,0,east,0,1,0,0,1,0,4,0,4,forward,-1.10,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,consecutive_turns,v0_5_consecutive_turns_6,12,7,0,east,7,0,south,1,1,0,1,1,0,5,-1,4,turn_right,-0.20,0,1,true
heuristic_demonstration,obstacle_aware_goal,v0.4.2,consecutive_turns,v0_5_consecutive_turns_6,13,7,0,south,7,1,south,0,1,0,0,1,0,5,-1,4,forward,0.90,0,1,true
